Price,price,returns,position,cash,equity
Ticker,AAPL,,,,
Date,,,,,
2020-08-11,106.18861389160156,-0.02973969480171057,0.0,10000,[8989.16653807]
2020-08-12,109.71771240234375,0.03323424594603641,0.0,10000,[8989.16653807]
2020-08-13,111.65945434570312,0.017697616007877004,0.0,10000,[8989.16653807]
2020-08-14,111.5599365234375,-0.0008912619432790425,0.0,10000,[8989.16653807]
2020-08-17,111.26866912841797,-0.002610860171638252,0.0,10000,[8989.16653807]
2020-08-18,112.19586944580078,0.008332986496969008,0.0,10000,[8989.16653807]
2020-08-19,112.33661651611328,0.0012544763992448082,0.0,10000,[8989.16653807]
2020-08-20,114.82935333251953,0.022189886910548795,0.0,10000,[8989.16653807]
2020-08-21,120.74676513671875,0.051532222663170035,0.0,10000,[8989.16653807]
2020-08-24,122.19094848632812,0.011960430972822733,0.0,10000,[8989.16653807]
2020-08-25,121.18850708007812,-0.008203892503233723,0.0,10000,[8989.16653807]
2020-08-26,122.83655548095703,0.013599048627523036,0.0,10000,[8989.16653807]
2020-08-27,121.36813354492188,-0.011954274770125783,0.0,10000,[8989.16653807]
2020-08-28,121.1715087890625,-0.0016200690421477315,0.0,10000,[8989.16653807]
2020-08-31,125.28071594238281,0.033912321422634895,0.0,10000,[8989.16653807]
2020-09-01,130.27098083496094,0.03983266582602529,0.0,10000,[8989.16653807]
2020-09-02,127.57192993164062,-0.02071874247066363,0.0,10000,[8989.16653807]
2020-09-03,117.35844421386719,-0.08006060363942391,0.0,10000,[8989.16653807]
2020-09-04,117.43609619140625,0.0006616650217137199,0.0,10000,[8989.16653807]
2020-09-08,109.53324890136719,-0.06729487394709033,0.0,10000,[8989.16653807]
2020-09-09,113.90214538574219,0.039886486780914554,0.0,10000,[9347.71281036]
2020-09-10,110.18372344970703,-0.0326457585451293,0.0,10000,[9042.549635]
2020-09-11,108.73714447021484,-0.01312879011710355,0.0,10000,[8923.83189872]
2020-09-14,111.99925994873047,0.030000010524546816,0.0,10000,[9191.5469496]
2020-09-15,112.17402648925781,0.0015604258510935054,0.0,10000,[9205.88967707]
2020-09-16,108.86334991455078,-0.029513753569540224,0.0,10000,[8934.18931776]
2020-09-17,107.1255111694336,-0.01596348767956579,0.0,10000,[8791.56849665]
2020-09-18,103.72747039794922,-0.03172018256332898,0.0,10000,[8512.69833892]
2020-09-21,106.87307739257812,0.030325688870660894,0.0,10000,[8770.8517802]
2020-09-22,108.55265045166016,0.015715586189330333,0.0,10000,[8908.6908573]
2020-09-23,103.99930572509766,-0.04194595624903841,0.0,10000,[8535.00730037]
2020-09-24,105.06724548339844,0.01026872007322499,0.0,10000,[8622.65090116]
2020-09-25,109.00898742675781,0.03751637273085451,0.0,10000,[8946.14148629]
2020-09-28,111.61090087890625,0.02386879755118021,0.0,10000,[9159.67512629]
2020-09-29,110.76624298095703,-0.007567879940917566,0.0,10000,[9090.35580464]
2020-09-30,112.4361343383789,0.01507581472912256,0.0,10000,[9227.40032457]
2020-10-01,113.38760375976562,0.008462309976997817,0.0,10000,[9227.40032457]
2020-10-02,109.72740936279297,-0.03228037524037908,0.0,10000,[9227.40032457]
2020-10-05,113.10604858398438,0.030791205595865012,0.0,10000,[9511.52310508]
2020-10-06,109.86334991455078,-0.028669542522527403,0.0,10000,[9511.52310508]
2020-10-07,111.72740936279297,0.016967072728912846,0.0,10000,[9511.52310508]
2020-10-08,111.62063598632812,-0.0009556596458630828,0.0,10000,[9511.52310508]
2020-10-09,113.56234741210938,0.017395631270360035,0.0,10000,[9511.52310508]
2020-10-12,120.7759017944336,0.06352065228228132,0.0,10000,[9511.52310508]
2020-10-13,117.57203674316406,-0.026527353583520874,0.0,10000,[9511.52310508]
2020-10-14,117.65941619873047,0.0007431993013549132,0.0,10000,[9511.52310508]
2020-10-15,117.19338989257812,-0.003960807568220592,0.0,10000,[9511.52310508]
2020-10-16,115.5526351928711,-0.014000403104739823,0.0,10000,[9511.52310508]
2020-10-19,112.6011962890625,-0.025541943711472226,0.0,10000,[9511.52310508]
2020-10-20,114.08663177490234,0.013192004479477548,0.0,10000,[9511.52310508]
2020-10-21,113.46525573730469,-0.005446528028136166,0.0,10000,[9511.52310508]
2020-10-22,112.37788391113281,-0.00958330212280456,0.0,10000,[9511.52310508]
2020-10-23,111.68856048583984,-0.006133977623551612,0.0,10000,[9453.17963519]
2020-10-26,111.69828796386719,8.70946673949824e-05,0.0,10000,[9454.00295673]
2020-10-27,113.20310974121094,0.01347220091529544,0.0,10000,[9581.36918401]
2020-10-28,107.96044158935547,-0.04631205064808308,0.0,10000,[9137.63632909]
2020-10-29,111.96041107177734,0.03705032531856789,0.0,10000,[9476.18872772]
2020-10-30,105.68861389160156,-0.056017989931771095,0.0,10000,[8945.35168298]
2020-11-02,105.60124206542969,-0.0008266910025094276,0.0,10000,[8937.95664123]
2020-11-03,107.22258758544922,0.015353470170502037,0.0,10000,[9075.18529191]
2020-11-04,111.60118865966797,0.04083655480454906,0.0,10000,[9445.78459344]
2020-11-05,115.56234741210938,0.035493876006295055,0.0,10000,[9781.05210058]
2020-11-06,115.4310531616211,-0.001136133467591005,0.0,10000,[9781.05210058]
2020-11-09,113.1261215209961,-0.019968037867572286,0.0,10000,[9781.05210058]
2020-11-10,112.78572845458984,-0.003008969651125848,0.0,10000,[9781.05210058]
2020-11-11,116.20906829833984,0.030352597714774943,0.0,10000,[9781.05210058]
2020-11-12,115.93675994873047,-0.0023432624802591784,0.0,10000,[9781.05210058]
2020-11-13,115.98539733886719,0.0004195165550444635,0.0,10000,[9781.05210058]
2020-11-16,116.99684143066406,0.008720443392040256,0.0,10000,[9781.05210058]
2020-11-17,116.11182403564453,-0.007564455451936403,0.0,10000,[9781.05210058]
2020-11-18,114.7891845703125,-0.011391083348462394,0.0,10000,[9781.05210058]
2020-11-19,115.38243103027344,0.005168138986104243,0.0,10000,[9781.05210058]
2020-11-20,114.11809539794922,-0.010957782922709325,0.0,10000,[9781.05210058]
2020-11-23,110.72394561767578,-0.029742432770521243,0.0,10000,[9781.05210058]
2020-11-24,112.00768280029297,0.011594033932369685,0.0,10000,[9894.45395053]
2020-11-25,112.84404754638672,0.007467030164216126,0.0,10000,[9968.33613664]
2020-11-27,113.38871002197266,0.0048266832626864264,0.0,10000,[10016.45013782]
2020-11-30,115.78116607666016,0.021099596725492997,0.0,10000,[10016.45013782]
2020-12-01,119.35040283203125,0.030827438315898847,0.0,10000,[10016.45013782]
2020-12-02,119.70050048828125,0.002933359653110701,0.0,10000,[10016.45013782]
2020-12-03,119.5643539428711,-0.00113739328452922,0.0,10000,[10016.45013782]
2020-12-04,118.8932876586914,-0.0056125949085154,0.0,10000,[10016.45013782]
2020-12-07,120.35210418701172,0.012269965420656614,0.0,10000,[10016.45013782]
2020-12-08,120.96480560302734,0.005090907385080445,0.0,10000,[10016.45013782]
2020-12-09,118.43620300292969,-0.020903622235345254,0.0,10000,[10016.45013782]
2020-12-10,119.8560791015625,0.011988531062564478,0.0,10000,[10016.45013782]
2020-12-11,119.04891204833984,-0.006734469033804147,0.0,10000,[10016.45013782]
2020-12-14,118.43620300292969,-0.005146700082075184,0.0,10000,[10016.45013782]
2020-12-15,124.36869812011719,0.05009021706851535,0.0,10000,[10016.45013782]
2020-12-16,124.30062103271484,-0.0005473812014707979,0.0,10000,[10016.45013782]
2020-12-17,125.16617584228516,0.006963398914495489,0.0,10000,[10016.45013782]
2020-12-18,123.18221282958984,-0.015850632164357226,0.0,10000,[10016.45013782]
2020-12-21,124.70907592773438,0.012395158871328249,0.0,10000,[10016.45013782]
2020-12-22,128.2588653564453,0.02846456364385186,0.0,10000,[10016.45013782]
2020-12-23,127.3641586303711,-0.00697578856313541,0.0,10000,[10016.45013782]
2020-12-24,128.346435546875,0.007712349589295453,0.0,10000,[10016.45013782]
2020-12-28,132.93678283691406,0.035765288459160605,0.0,10000,[10016.45013782]
2020-12-29,131.16677856445312,-0.013314631471354033,0.0,10000,[10016.45013782]
2020-12-30,130.04833984375,-0.00852684447192964,0.0,10000,[10016.45013782]
2020-12-31,129.04660034179688,-0.007702824220260696,0.0,10000,[10016.45013782]
2021-01-04,125.85670471191406,-0.024718943555536943,0.0,10000,[10016.45013782]
2021-01-05,127.41272735595703,0.012363446568895098,0.0,10000,[10016.45013782]
2021-01-06,123.12384796142578,-0.033661310636175834,0.0,10000,[10016.45013782]
2021-01-07,127.32523345947266,0.0341232471824886,0.0,10000,[10358.24394177]
2021-01-08,128.42420959472656,0.008631251680396135,0.0,10000,[10358.24394177]
2021-01-11,125.43850708007812,-0.023248751338011298,0.0,10000,[10358.24394177]
2021-01-12,125.2634506225586,-0.0013955559707656828,0.0,10000,[10343.78843259]
2021-01-13,127.29608154296875,0.016226847578507453,0.0,10000,[10511.63551087]
2021-01-14,125.37045288085938,-0.015127163686176615,0.0,10000,[10511.63551087]
2021-01-15,123.64903259277344,-0.013730669775292359,0.0,10000,[10367.30371487]
